name,address
"Restoran Malaysia","815, Major Mackenzie Drive East, Richmond Hill, L4C 9X2"
"Thai Basil","1070, Major Mackenzie Drive East, Richmond Hill, L4S 1P3"
"Cafe KenKaKu","1070, Major Mackenzie Drive East, Richmond Hill, L4S 1P3"
"Allencourt Restaurant",""
"Thw Owl of Minerva",""
"Bayview Kitchen",""
"Beijing Tong Ren Tang",""
"Bayview Court Chinese Restaurant","1070, Major Mackenzie Drive East"
"Fusion Viet Food","1070, Major Mackenzie Drive East"
"Wimpy's",""
"Goa Kitchen",""
"Pearl Bayview",""
"Gangnam Sushi",""
"Spring Chicken House",""
"Vietnoms",""
"Shamshiri Restaurant",""
"So Hungry",""
"Sun Star Chinese",""
"Paik's Noodle","1549, Steeles Avenue East, North York, ON, M2M 3Y7"
"Pizza Hut","392, John Street, Markham, Ontario, L3T 5W6"
"Ferovia Ristorante",""
"SHoomSHoom",""
"Hunan Restaurant",""
"Bento sushi",""
"Santorini",""
"Ambassador Chinese Cuisine",""
"Tastee","9021, Leslie Street"
"Nogi Sushi","115, Times Avenue, Markham, Ontario"
"Golden Court Restaurant",""
"漁米軒 Yumi Legend","328, Highway 7, Richmond Hill, Ontario"
"Kinton Ramen","505, Highway 7, Richmond Hill, L3T 7T1"
"Saigon Star",""
"O Mei Fine Chinese Cuisine","420, Highway 7, Richmond Hill, Ontario"
"My Wonderful Kitchen","350, Highway 7"
"bb.q Chicken","420, Highway 7, Richmond Hill, Ontario, L4B 3K2"
"人人菜館 New Choice Restaurant","324, Highway 7, Richmond Hill, Ontario"
"小龙坎老火锅 XiaoLongKan Chinese Fondue","328, Highway 7, Richmond Hill, Ontario"
"湘椒老茶館 Hunan Tearoom","328, Highway 7, Richmond Hill, Ontario"
"The Big Brother","328, Highway 7, Richmond Hill, Ontario"
"Shanghai Dimsum",""
"Sanxi Noodle","328, Highway 7, Richmond Hill, Ontario"
"Sapporo Sushi",""
"Da Long Yi Hotpot","360, Highway 7"
"Hikari Sushi House",""
"Kum Hong BBQ Restaurant","420, Highway 7, Richmond Hill, Ontario"
"The Point Eatery","420, Highway 7, Richmond Hill, Ontario"
"Pho Anh Vu","420, Highway 7, Richmond Hill, Ontario"
"老街肠粉 Millstone Rice Rolls","328, Highway 7, Richmond Hill, Ontario"
"Inaroy","328, Highway 7, Richmond Hill, Ontario"
"Donburi ドンプリ","505, Highway 7, Markham, Ontario"
"蜀香苑川菜馆 Szechuan Legend Restaurant","505, Highway 7, Markham, Ontario"
"真東北餃子館 Chinese Dumpling House","505, Highway 7, Markham, Ontario"
"西北樓 Shaanxi Restaurant","505, Highway 7, Markham, Ontario"
"Asian Legend 味香村","505, Highway 7, Markham, Ontario"
"Korean Grill House 髙養村","505, Highway 7, Markham, Ontario"
"Goubuli",""
"Pepper Wok",""
"Noodle Legend",""
"Jim Chai Kee Noodle",""
"Yu Seafood",""
"Akasaka Japanese Restaurant",""
"Adrak Indian Restaurant & Bar",""
